"komentar","label","preprocessedKomentar"
"Polisi yang disiplin akan membawa perubahan besar bagi negeri ini.","positif","polisi disiplin bawa ubah besar negeri"
"Kami yakin kepolisian akan terus melindungi masyarakat dengan sepenuh hati.","positif","yakin polisi terus lindung masyarakat penuh hati"
"Polisi yang bekerja dengan jujur akan selalu mendapat dukungan rakyat.","positif","polisi kerja jujur selalu dapat dukung rakyat"
"Saya percaya kepolisian mampu memberantas kejahatan dengan tegas.","positif","percaya polisi mampu berantas jahat tegas"
"Polisi yang berani menegakkan kebenaran adalah pahlawan bagi rakyat.","positif","polisi berani tegak benar pahlawan rakyat"
"Kami percaya kepolisian bisa menjaga keamanan dengan lebih baik.","positif","percaya polisi jaga aman lebih baik"
"Polisi adalah garda terdepan dalam menciptakan ketertiban di masyarakat.","positif","polisi garda depan cipta tertib masyarakat"
"Integritas polisi adalah hal yang sangat berharga bagi bangsa ini.","positif","integritas polisi sangat harga bangsa"
"Saya yakin kepolisian terus berusaha memperbaiki sistem penegakan hukum.","positif","yakin polisi terus usaha baik sistem tegak hukum"
"Keamanan akan lebih terjamin jika polisi bekerja dengan penuh dedikasi.","positif","aman lebih jamin polisi kerja penuh dedikasi"
"Kami percaya polisi bisa menindak kejahatan tanpa pandang bulu.","positif","percaya polisi tindak jahat pandang bulu"
"Polisi yang bekerja dengan profesionalisme tinggi akan selalu dihormati.","positif","polisi kerja profesionalisme tinggi selalu hormat"
"Saya yakin ada polisi yang benar-benar ingin melindungi rakyat.","positif","yakin polisi benar lindung rakyat"
"Kepolisian yang kuat akan menciptakan rasa aman di tengah masyarakat.","positif","polisi kuat cipta rasa aman tengah masyarakat"
"Kami yakin polisi bisa mengembalikan kepercayaan masyarakat dengan kerja nyata.","positif","yakin polisi kembali percaya masyarakat kerja nyata"
"Polisi yang menjalankan tugasnya dengan hati nurani akan dihormati rakyat.","positif","polisi jalan tugas hati nurani hormat rakyat"
"Kejujuran polisi adalah kunci utama dalam membangun kepercayaan publik.","positif","jujur polisi kunci utama bangun percaya publik"
"Saya percaya polisi mampu menciptakan suasana yang aman dan kondusif.","positif","percaya polisi mampu cipta suasana aman kondusif"
"Kami berharap polisi tetap berkomitmen untuk memberantas segala bentuk kejahatan.","positif","harap polisi tetap komitmen berantas segala bentuk jahat"
"Rakyat butuh polisi yang bisa menjadi panutan dalam menegakkan hukum.","positif","rakyat butuh polisi jadi panutan tegak hukum"
"Saya percaya kepolisian bisa lebih transparan dalam menangani kasus.","positif","percaya polisi lebih transparan tangan kasus"
"Keberanian polisi dalam melawan ketidakadilan adalah hal yang patut diapresiasi.","positif","berani polisi lawan tidakadil patut apresiasi"
"Kami yakin polisi bisa menjalankan tugasnya tanpa intervensi dari pihak manapun.","positif","yakin polisi jalan tugas intervensi pihak mana"
"Polisi yang berpegang teguh pada prinsip keadilan akan selalu didukung rakyat.","positif","polisi pegang teguh prinsip adil selalu dukung rakyat"
"Saya percaya reformasi kepolisian akan membawa dampak positif bagi hukum.","positif","percaya reformasi polisi bawa dampak positif hukum"
"Polisi yang humanis akan lebih dekat dengan masyarakat.","positif","polisi humanis lebih dekat masyarakat"
"Kepolisian yang bertindak adil akan selalu mendapatkan kepercayaan publik.","positif","polisi tindak adil selalu dapat percaya publik"
"Kami yakin polisi bisa bekerja lebih baik untuk masa depan yang lebih aman.","positif","yakin polisi kerja lebih baik masa depan lebih aman"
"Polisi yang bertanggung jawab adalah harapan bagi bangsa ini.","positif","polisi tanggung jawab harap bangsa"
"Saya percaya kepolisian bisa menangani kasus dengan cepat dan tepat.","positif","percaya polisi tangan kasus cepat tepat"
"Kami berharap polisi tetap setia pada tugasnya untuk melindungi rakyat.","positif","harap polisi tetap setia tugas lindung rakyat"
"Rakyat butuh polisi yang selalu menjunjung tinggi nilai keadilan.","positif","rakyat butuh polisi selalu junjung tinggi nilai adil"
"Polisi yang transparan dalam menjalankan tugasnya akan lebih dipercaya publik.","positif","polisi transparan jalan tugas lebih percaya publik"
"Saya yakin ada banyak polisi yang masih bekerja dengan penuh integritas.","positif","yakin banyak polisi kerja penuh integritas"
"Kami percaya polisi bisa menjadi ujung tombak dalam melawan kejahatan.","positif","percaya polisi jadi ujung tombak lawan jahat"
"Polisi yang berani menolak korupsi akan selalu mendapat dukungan rakyat.","positif","polisi berani tolak korupsi selalu dapat dukung rakyat"
"Saya yakin kepolisian akan terus berusaha menjadi lebih baik setiap hari.","positif","yakin polisi terus usaha jadi lebih baik hari"
"Kepercayaan rakyat terhadap polisi akan semakin kuat jika mereka bekerja jujur.","positif","percaya rakyat polisi makin kuat kerja jujur"
"Kami yakin kepolisian bisa meningkatkan profesionalisme dalam bertugas.","positif","yakin polisi tingkat profesionalisme tugas"
"Polisi yang dekat dengan rakyat akan lebih mudah menjalankan tugasnya.","positif","polisi dekat rakyat lebih mudah jalan tugas"
"Saya percaya hukum bisa berjalan dengan baik jika polisi bekerja dengan jujur.","positif","percaya hukum jalan baik polisi kerja jujur"
"Polisi yang tegas tetapi tetap humanis akan selalu dihormati masyarakat.","positif","polisi tegas tetap humanis selalu hormat masyarakat"
"Kami berharap polisi tetap menjaga keadilan tanpa diskriminasi.","positif","harap polisi tetap jaga adil diskriminasi"
"Polisi yang bekerja tanpa penyalahgunaan wewenang akan selalu didukung rakyat.","positif","polisi kerja salah guna wenang selalu dukung rakyat"
"Saya yakin kepolisian bisa menjadi harapan bagi hukum yang lebih baik.","positif","yakin polisi jadi harap hukum lebih baik"
"Polisi yang bersih dan transparan akan membawa perubahan positif bagi bangsa.","positif","polisi bersih transparan bawa ubah positif bangsa"
"Bangga melihat polisi bekerja keras menjaga keamanan masyarakat!","positif","bangga lihat polisi kerja keras jaga aman masyarakat"
"Senang sekali melihat polisi yang jujur dan bertanggung jawab dalam tugasnya.","positif","senang kali lihat polisi jujur tanggung jawab tugas"
"Kepolisian yang bekerja dengan hati nurani benar-benar patut diapresiasi!","positif","polisi kerja hati nurani benar patut apresiasi"
"Bahagia melihat polisi semakin profesional dalam menangani berbagai kasus.","positif","bahagia lihat polisi makin profesional tangan bagai kasus"
"Rakyat pasti lebih tenang jika polisi terus bekerja dengan baik seperti ini.","positif","rakyat lebih tenang polisi terus kerja baik"
"Salut untuk polisi yang terus berusaha menciptakan lingkungan yang aman!","positif","salut polisi terus usaha cipta lingkung aman"
"Keamanan semakin terjamin berkat kerja keras polisi yang berdedikasi.","positif","aman makin jamin berkat kerja keras polisi dedikasi"
"Senang sekali melihat kepolisian semakin transparan dalam bekerja!","positif","senang kali lihat polisi makin transparan kerja"
"Polisi yang jujur dan tegas benar-benar membawa harapan bagi masyarakat.","positif","polisi jujur tegas benar bawa harap masyarakat"
"Tidak semua polisi buruk, masih banyak yang menjalankan tugas dengan baik.","netral","semua polisi buruk banyak jalan tugas baik"
"Profesionalisme dalam bertugas akan membuat kepolisian semakin dihormati.","netral","profesionalisme tugas buat polisi makin hormat"
"Keamanan dan ketertiban butuh kerja sama semua pihak, bukan hanya tugas polisi.","netral","aman tertib butuh kerja sama semua pihak bukan tugas polisi"
"Setiap individu di kepolisian punya tanggung jawab untuk menjaga citra institusi.","netral","individu polisi punya tanggung jawab jaga citra institusi"
"Hati terasa lebih tenang saat melihat polisi hadir di tengah masyarakat.","positif","hati rasa lebih tenang lihat polisi hadir tengah masyarakat"
"Kerja polisi yang luar biasa membuat lingkungan jadi lebih kondusif.","positif","kerja polisi luar biasa buat lingkung jadi lebih kondusif"
"Saya sangat mengapresiasi polisi yang selalu mengutamakan keadilan.","positif","sangat apresiasi polisi selalu utama adil"
"Senang melihat polisi membantu rakyat kecil tanpa pandang bulu!","positif","senang lihat polisi bantu rakyat kecil pandang bulu"
"Bangga dengan polisi yang selalu mengedepankan integritas dalam bertugas.","positif","bangga polisi selalu depan integritas tugas"
"Kepolisian yang transparan adalah bukti kemajuan penegakan hukum di negeri ini!","positif","polisi transparan bukti maju tegak hukum negeri"
"Bahagia melihat polisi semakin humanis dalam melayani masyarakat.","positif","bahagia lihat polisi makin humanis layan masyarakat"
"Polisi yang bekerja tanpa korupsi adalah harapan besar bagi bangsa ini!","positif","polisi kerja korupsi harap besar bangsa"
"Polisi yang responsif terhadap laporan warga benar-benar luar biasa!","positif","polisi responsif lapor warga benar luar biasa"
"Salut untuk polisi yang selalu hadir di saat rakyat membutuhkan bantuan.","positif","salut polisi selalu hadir rakyat butuh bantu"
"Hukum bisa berjalan dengan baik jika polisi terus bekerja seperti ini!","positif","hukum jalan baik polisi terus kerja"
"Senang melihat polisi semakin inovatif dalam menangani masalah keamanan.","positif","senang lihat polisi makin inovatif tangan masalah aman"
"Kepolisian yang disiplin dan profesional adalah kebanggaan bangsa!","positif","polisi disiplin profesional bangga bangsa"
"Polisi yang terus berbenah diri akan semakin dicintai rakyatnya.","positif","polisi terus benah diri makin cinta rakyat"
"Keberanian polisi dalam menindak kejahatan patut diapresiasi!","positif","berani polisi tindak jahat patut apresiasi"
"Makin bangga dengan kepolisian yang berani melawan praktik korupsi!","positif","makin bangga polisi berani lawan praktik korupsi"
"Polisi yang peduli pada masyarakat akan selalu mendapatkan kepercayaan penuh.","positif","polisi peduli masyarakat selalu dapat percaya penuh"
"Bangga melihat polisi melayani rakyat dengan sepenuh hati.","positif","bangga lihat polisi layan rakyat penuh hati"
"Polisi yang cepat tanggap dalam bertugas benar-benar menginspirasi!","positif","polisi cepat tanggap tugas benar inspirasi"
"Sungguh menyenangkan melihat kepolisian semakin bersih dan transparan.","positif","sungguh senang lihat polisi makin bersih transparan"
"Polisi yang berintegritas tinggi selalu mendapat tempat di hati masyarakat.","positif","polisi integritas tinggi selalu dapat tempat hati masyarakat"
"Senyum polisi yang ramah membuat masyarakat merasa lebih dekat.","positif","senyum polisi ramah buat masyarakat rasa lebih dekat"
"Hebat! Polisi semakin sigap dalam menangani berbagai situasi darurat.","positif","hebat polisi makin sigap tangan bagai situasi darurat"
"Kepolisian yang cerdas dan inovatif benar-benar membawa angin segar!","positif","polisi cerdas inovatif benar bawa angin segar"
"Polisi yang adil akan selalu mendapat tempat di hati masyarakat.","positif","polisi adil selalu dapat tempat hati masyarakat"
"Bangga melihat polisi mengayomi rakyat dengan penuh ketulusan!","positif","bangga lihat polisi ayom rakyat penuh tulus"
"Polisi yang bekerja tanpa pamrih adalah pahlawan sejati bangsa!","positif","polisi kerja pamrih pahlawan jati bangsa"
"Salut untuk kepolisian yang makin aktif dalam membangun hubungan baik dengan rakyat.","positif","salut polisi makin aktif bangun hubung baik rakyat"
"Polisi yang bertindak tegas terhadap pelanggar hukum layak mendapat penghargaan!","positif","polisi tindak tegas langgar hukum layak dapat harga"
"Percuma laporan kalau akhirnya dibiarkan begitu saja!","negatif","cuma lapor kalau akhir biar"
"Mereka harusnya melindungi rakyat, bukan malah bikin takut!","negatif","harus lindung rakyat bukan malah bikin takut"
"Kepolisian yang makin transparan membuat rakyat lebih percaya.","positif","polisi makin transparan buat rakyat lebih percaya"
"Polisi yang bekerja dengan hati akan selalu dikenang jasanya.","positif","polisi kerja hati selalu kenang jasa"
"Bangga dengan polisi yang sigap dalam memberikan pertolongan.","positif","bangga polisi sigap beri tolong"
"Hebat! Polisi semakin terbuka dalam menerima kritik dan masukan rakyat.","positif","hebat polisi makin buka terima kritik masuk rakyat"
"Kepolisian yang semakin baik akan membawa dampak besar bagi bangsa ini.","positif","polisi makin baik bawa dampak besar bangsa"
"Polisi yang bersih dan amanah akan selalu mendapat dukungan penuh dari rakyat.","positif","polisi bersih amanah selalu dapat dukung penuh rakyat"
"Saya belum pernah berurusan langsung dengan polisi, jadi nggak bisa komentar banyak","netral","pernah urus langsung polisi jadi komentar banyak"
"Ada razia di jalan utama tadi pagi. Untung surat-surat lengkap, jadi aman","netral","razia jalan utama tadi pagi untung surat lengkap jadi aman"
"Lalu lintas pagi tadi macet banget, banyak polisi sih, tapi mungkin volume kendaraan terlalu tinggi","netral","lalu lintas pagi tadi macet banget banyak polisi sih mungkin volume kendara lalu tinggi"
"Masih banyak oknum polisi yang bermain di lapangan. Tolong lebih tegas terhadap internal","negatif","banyak oknum polisi main lapang lebih tegas internal"
"Penanganan kasus masih lambat, terutama untuk masyarakat kecil. Tolong lebih adil","negatif","tangan kasus lambat utama masyarakat kecil lebih adil"
"Kadang terasa diskriminatif dalam menangani pelanggaran. Hukum harusnya sama untuk semua","negatif","kadang rasa diskriminatif tangan langgar hukum harus sama semua"
"Pungli masih ada di beberapa daerah. Harus ada tindakan nyata, bukan cuma imbauan","negatif","pungli beberapa daerah tindak nyata bukan cuma imbau"
"Masih ada polisi yang tidak sopan saat razia. Etika penting","negatif","polisi sopan razia etika penting"
"Polisi juga kemaren ada yg ga make helm terus ga kena tilang pas razia gilaa","negatif","polisi kemaren yang tidak make helm terus tidak kena tilang pas razia gilaa"
"Polisi indonesia hebatt","positif","polisi indonesia hebatt"
"Kemaren liat polisi nolongin orang tabrakan di jalan raya","positif","maren liat polisi tolong orang tabrak jalan raya"
"Maju terus POLRI. God Bless You","positif","maju terus polri god bless you"
"Salut atas kerjasama Polri di masyarakat","positif","salut atas kerjasama polri masyarakat"
"Patroli malam di daerah kami bikin warga merasa lebih aman. Terima kasih, Pak Polisi","positif","patroli malam daerah bikin warga rasa lebih aman terima kasih pak polisi"
"Sekarang makin terasa kehadiran polisi di tengah masyarakat. Terus tingkatkan pelayanan","positif","sekarang makin rasa hadir polisi tengah masyarakat terus tingkat layan"
"Salut untuk Polri yang cepat tanggap menangani kasus penculikan anak kemarin. Semoga makin profesional","positif","salut polri cepat tanggap tangan kasus culik anak kemarin moga makin profesional"
"Terima kasih sudah menjaga ketertiban saat mudik lebaran. Lalu lintas jadi lebih teratur","positif","terima kasih jaga tertib mudik lebaran lalu lintas jadi lebih atur"
"Layanan online pembuatan SIM benar-benar membantu. Tidak perlu antre lama-lama lagi","positif","layan online buat sim benar bantu perlu antre lama"
"Tadi pagi lihat polisi atur lalu lintas di perempatan, lumayan lancar walau tetap macet","netral","tadi pagi lihat polisi atur lalu lintas empat lumbago lancar tetap macet"
"Ada mobil polisi lewat tadi siang, kayaknya sedang patroli rutin","netral","mobil polisi lewat tadi siang kayak sedang patroli rutin"
"Lihat unggahan tentang polisi tangkap pelaku pencurian. Semoga pelakunya benar-benar dihukum","netral","lihat unggah polisi tangkap laku curi moga laku benar hukum"
"Saya belum pernah berurusan langsung sama polisi, jadi nggak bisa nilai banyak","netral","pernah urus langsung sama polisi jadi nilai banyak"
"Bikin SKCK butuh surat pengantar RT/RW, cukup ribet tapi mungkin itu prosedurnya","netral","bikin skck butuh surat antar rt rw cukup ribat mungkin prosedur"
"Kemarin ada polisi datang ke sekolah anak saya buat sosialisasi narkoba. Edukasinya jelas","netral","kemarin polisi datang sekolah anak buat sosialisasi menarkoba edukasi jelas"
"Ada tilang elektronik sekarang ya? Belum pernah kena sih, tapi katanya lebih transparan","netral","tilang elektronik sekarang pernah kena sih kata lebih transparan"
"Waktu ban motor saya bocor di jalan tol, polisi patroli bantuin nelpon tukang tambal ban. Ya, cukup membantu sih","netral","waktu ban motor bocor jalan tol polisi patroli bantu telpon tukang tambal ban cukup bantu sih"
"Polisi di pos dekat rumah saya kelihatan siaga terus, tapi nggak tahu kegiatan spesifiknya apa","netral","polisi pos dekat rumah lihat siaga terus beri giat spesifik apa"
"Kalau ada acara besar, biasanya polisi turun tangan. Ya itu memang tugasnya","netral","kalau acara besar biasa polisi turun tangan memang tugas"
"Temen saya sempat ditilang, katanya ada yang minta uang, tapi saya sendiri belum pernah ngalamin","netral","teman sempat tilang kata minta uang sendiri pernah alam"
"Dapat info dari grup WA tentang pelayanan SIM keliling. Belum coba, tapi menarik juga","netral","info grup wa layan sim keliling coba tarik"
"Beberapa petugas terlihat aktif di medsos, mungkin bagus juga biar bisa komunikasi langsung sama warga","netral","beberapa tugas lihat aktif medsos mungkin bagus biar komunikasi langsung sama warga"
"Kemarin sempat ikut acara 'Polisi Sahabat Anak'. Seru, tapi saya datang sebagai guru pendamping aja","netral","kemarin sempat ikut acara polisi sahabat anak seru datang guru damping aja"
"Sempat lihat ada polisi mediasi perselisihan antar warga di pos RW. Nggak tahu hasilnya gimana","netral","sempat lihat polisi mediasi selisih antar warga pos rw beri hasil gimana"
"Tadi siang lihat ada polisi berdiri di depan sekolah, mungkin lagi jaga anak-anak pulang","netral","tadi siang lihat polisi diri depan sekolah mungkin jaga anak pulang"
"Ada himbauan dari polisi soal helm ganda, ya udah saya ikutin aja","netral","himbau polisi soal helm ganda udah ikut aja"
"Waktu demo kemarin, polisi berjaga di depan gedung pemerintah. Nggak tahu ada kerusuhan atau tidak","netral","waktu demo kemarin polisi jaga depan gedung perintah beri rusuh"
"Kemarin motor saya mogok, ada polisi lewat tapi dia cuma nanya keadaan dan lanjut jalan","netral","kemarin motor mogok polisi lewat cuma nanya ada lanjut jalan"
"Ada acara jalan sehat di kota saya, polisi bantu tutup jalan. Ya standar lah","netral","acara jalan sehat kota polisi bantu tutup jalan standar lah"
"Setiap pagi ada polisi yang bantu nyebrang di dekat pasar, udah rutin kayaknya","netral","pagi polisi bantu nyebrang dekat pasar udah rutin kayak"
"Dengar ada program polisi masuk desa, belum tahu isinya apa tapi kedengarannya bagus","netral","dengar program polisi masuk desa beri isi apa dengar bagus"
"Waktu pergi malam minggu, sempat lihat polisi sweeping knalpot brong. Nggak kena sih, motor saya standar","netral","waktu pergi malam minggu sempat lihat polisi sweeping knalpot brong kena sih motor standar"
"Kalau mau lapor kehilangan katanya harus bawa KTP dan surat keterangan. Cukup banyak syarat ya","netral","kalau mau lapor hilang kata bawa ktp surat terang cukup banyak syarat"
"Ada akun Instagram Polres daerah sini yang sering update kegiatan. Kadang saya lihat, kadang lewat aja","netral","akun instagram polres daerah sini sering update giat kadang lihat kadang lewat aja"
"Baru tahu ternyata bisa lapor lewat aplikasi. Saya belum pernah pakai","netral","baru beri nyata lapor lewat aplikasi pernah pakai"
"Beberapa polisi masih terlihat jaga di pos PAM meski acara udah selesai. Mungkin shift-nya lama","netral","beberapa polisi lihat jaga pos pam meski acara udah selesai mungkin shift nya lama"
"Temen saya baru ngurus SIM, katanya gampang kalau ikut semua prosedur. Tapi tetap makan waktu","netral","teman baru urus sim kata gampang kalau ikut semua prosedur tetap makan waktu"
"Di tempat saya tiap malam minggu ada razia, kayak udah jadi kebiasaan aja","netral","tempat tiap malam minggu razia kayak udah jadi biasa aja"
"Pas mudik kemarin, lihat polisi tidur di pinggir pos pantau. Mungkin kecapekan","netral","pas mudik kemarin lihat polisi tidur pinggir pos pantau mungkin cape"
"Sering baca berita polisi salah tangkap, tapi nggak pernah ada permintaan maaf resmi. Seolah biasa aja","negatif","sering baca berita polisi salah tangkap pernah minta maaf resmi biasa aja"
"Banyak akun resmi Polri di media sosial cuma pamer seremonial. Jarang respon keluhan masyarakat","negatif","banyak akun resmi polri media sosial cuma pamer seremonial jarang respon keluh masyarakat"
"Pernah ikut demo damai, tapi tetap dipukul. Polisi seharusnya jadi penjaga, bukan pemukul","negatif","pernah ikut demo damai tetap pukul polisi jadi jaga bukan pukul"
"Waktu bawa anak sakit ke UGD, sempat kena tahan polisi karena dikira ngebut. Padahal darurat","negatif","waktu bawa anak sakit ugd sempat kena tahan polisi kira ngebut padahal darurat"
"Kalau ada pelaporan dari warga kecil, kayaknya nggak dianggap penting. Harus viral dulu baru ditindak","negatif","kalau lapor warga kecil kayak anggap penting viral dulu baru tindak"
"Beberapa kali lihat polisi berhentiin motor cuma karena plat luar kota. Kesan pilih kasih banget","negatif","beberapa kali lihat polisi henti motor cuma plat luar kota kesan pilih kasih banget"
"Pelayanan di SPKT lambat dan banyak duduk-duduk aja. Baru ditangani kalau kita desak terus","negatif","layan spkt lambat banyak duduk aja baru tangan kalau desak terus"
"Waktu nanya prosedur pengaduan, malah dilempar ke sana-sini. Nggak ada yang benar-benar bantu","negatif","waktu mena prosedur adu malah lempar sana sini benar bantu"
"Polisi harusnya bantu cegah narkoba, tapi kadang malah ada oknum yang main belakang","negatif","polisi harus bantu cegah menarkoba kadang malah oknum main belakang"
"Ada laporan anak hilang, polisi malah bilang ‘tunggu 24 jam dulu’. Padahal tiap detik penting","negatif","lapor anak hilang polisi malah bilang tunggu jam dulu padahal tiap detik penting"
"Waktu saya ditabrak, malah disuruh damai. Padahal jelas saya yang dirugikan","negatif","waktu tabrak malah suruh damai padahal jelas rugi"
"Saya lihat pengendara yang jelas-jelas salah, tapi kalau negosiasi dikit langsung dilepas. Nggak adil","negatif","lihat kendara jelas salah kalau negosiasi dikit langsung lepas adil"
"Pernah dipalak oknum polisi di jalan tol karena muatan dianggap berlebih. Padahal masih standar","negatif","pernah palak oknum polisi jalan tol muat anggap lebih padahal standar"
"Sudah laporan kehilangan kendaraan, tapi katanya 'jangan terlalu berharap'. Jadi buat apa laporan?","negatif","lapor hilang kendara kata jangan lalu harap jadi buat apa lapor"
"Beberapa polisi seperti ogah-ogahan kalau yang lapor warga biasa. Kalau wartawan atau pejabat baru sigap","negatif","beberapa polisi ogah ogah kalau lapor warga biasa kalau wartawan jabat baru sigap"
"Kalau lihat cara polisi tangani pendemo mahasiswa, sering berlebihan. Terlalu represif","negatif","kalau lihat cara polisi tangan demo mahasiswa sering lebih lalu represif"
"Ada isu perjudian online di wilayah saya, tapi seolah-olah dibiarkan aja. Kayak tutup mata","negatif","isu judi online wilayah olah biar aja kayak tutup mata"
"Saya pernah alami intimidasi waktu nggak mau bayar 'uang damai'. Polisi malah marah","negatif","pernah alami intimidasi waktu mau bayar uang damai polisi malah marah"
"Di beberapa daerah, laporan masyarakat tentang premanisme sering nggak ditindak. Mungkin karena sudah biasa","negatif","beberapa daerah lapor masyarakat premanisme sering tindak mungkin biasa"
"Ada anggota polisi viral karena arogansi, tapi selesai cuma dengan minta maaf. Nggak ada sanksi nyata","negatif","anggota polisi viral arogansi selesai cuma minta maaf sanksi nyata"
"SIM saya ditahan tanpa alasan yang jelas, disuruh bayar di tempat biar cepat","negatif","sim ditahan alas jelas suruh bayar tempat biar cepat"
"Ada insiden kecelakaan, polisi baru datang setelah warga berkerumun dan macet parah","negatif","insiden celaka polisi baru datang warga kerumun macet parah"
"Kalau ada konflik tanah, polisi sering dianggap berat sebelah karena pengaruh pemodal","negatif","kalau konflik tanah polisi sering anggap berat belah pengaruh modal"
"Waktu ingin lapor pelecehan, ditanya-tanya yang nggak perlu. Bikin korban nggak nyaman","negatif","waktu lapor leceh dita tanya perlu bikin korban nyaman"
"Penindakan pelanggaran lalu lintas terasa kayak ajang cari setoran, bukan mendidik","negatif","tindak langgar lalu lintas rasa kayak ajang cari setor bukan didik"
"Ada kecelakaan di depan mata saya, polisi malah sibuk main HP dan nggak langsung turun tangan","negatif","celaka depan mata polisi malah sibuk main hp langsung turun tangan"
"Sudah dua minggu laporan pencurian saya nggak ada kabar. Kalau nggak ditanya, ya didiemin","negatif","minggu lapor curi kabar kalau dita diam"
"Saya lihat polisi lebih aktif pas ada kamera media. Selebihnya nggak terlalu kelihatan kerja","negatif","lihat polisi lebih aktif pas kamera media lebih lalu lihat kerja"
"Polisi sering lewat di jalan rawan macet, tapi cuma lihat-lihat tanpa atur lalu lintas","negatif","polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas"
"Banyak konten polisi di media sosial yang cuma pamer kegiatan seremonial, bukan hal yang menyentuh masalah nyata","negatif","banyak kontan polisi media sosial cuma pamer giat seremonial bukan sentuh masalah nyata"
"Beberapa kali lihat polisi sigap atur lalu lintas saat jam pulang kerja. Salut buat yang tetap semangat walau macet","positif","beberapa kali lihat polisi sigap atur lalu lintas jam pulang kerja salut buat tetap semangat macet"
"Waktu ada banjir, polisi ikut bantu evakuasi warga tanpa banyak bicara. Langsung turun ke lapangan","positif","waktu banjir polisi ikut bantu evakuasi warga banyak bicara langsung turun lapang"
"Anak saya pernah hilang di pusat perbelanjaan. Polisi datang cepat dan bantu sampai ketemu","positif","anak pernah hilang pusat belanja polisi datang cepat bantu temu"
"Program polisi masuk sekolah itu bagus. Anak-anak jadi lebih kenal dan nggak takut sama polisi","positif","program polisi masuk sekolah bagus anak jadi lebih kenal takut sama polisi"
"Ada kejadian tabrakan kecil, polisi bantu mediasi dengan tenang sampai dua belah pihak sepakat","positif","jadi tabrak kecil polisi bantu mediasi tenang belah pihak sepakat"
"Saya pernah lihat polisi bantu dorong mobil mogok di tengah hujan. Nggak banyak omong, langsung bantu","positif","pernah lihat polisi bantu dorong mobil mogok tengah hujan banyak omong langsung bantu"
"Penertiban kendaraan balap liar di daerah saya bikin suasana malam jadi lebih tenang. Terima kasih","positif","tertib kendara balap liar daerah bikin suasana malam jadi lebih tenang terima kasih"
"Pembuatan SKCK di Polres sangat cepat dan teratur. Pelayanannya jelas, petugasnya ramah","positif","buat skck polres sangat cepat atur layan jelas tugas ramah"
"Waktu mudik Lebaran, polisi berjaga di pos pantau sepanjang jalan. Bikin perjalanan lebih aman","positif","waktu mudik lebaran polisi jaga pos pantau panjang jalan bikin jalan lebih aman"
"Saya apresiasi petugas Polantas yang sabar mengatur lalu lintas saat demo besar. Tetap tenang dan humanis","positif","apresiasi tugas polantas sabar atur lalu lintas demo besar tetap tenang humanis"
"Polisi jaga kondusifitas waktu pemilu berjalan cukup baik. Tidak memihak dan profesional","positif","polisi jaga kondusifitas waktu milu jalan cukup baik pihak profesional"
"Ada polisi yang rutin sambangi warga untuk diskusi keamanan. Pendekatannya bagus dan terbuka","positif","polisi rutin sambang warga diskusi aman dekat bagus buka"
"Saya pernah kesasar malam hari, polisi patroli bantu kasih petunjuk jalan dan pastikan saya aman sampai tujuan","positif","pernah sasar malam hari polisi patroli bantu kasih tunjuk jalan pasti aman tuju"
"Penanganan pencurian motor di kompleks kami cukup cepat. Pelaku berhasil tertangkap beberapa hari setelah dilapor","positif","tangan curi motor kompleks cukup cepat laku hasil tangkap beberapa hari lapor"
"Polisi tanggap bantu ibu yang pingsan di halte bus. Respons cepat dan empatinya nyata","positif","polisi tanggap bantu ibu pingsan halte bus respons cepat empati nyata"
"Saya kehilangan dompet di jalan, dan ternyata ditemukan serta dikembalikan oleh anggota polisi. Salut atas kejujurannya","positif","hilang dompet jalan nyata temu kembali anggota polisi salut atas jujur"
"Saat ban motor saya pecah malam hari, polisi yang patroli langsung berhenti dan bantu saya ganti ban","positif","ban motor pecah malam hari polisi patroli langsung henti bantu ganti ban"
"Anak saya ketemu polisi di acara Car Free Day, diajak ngobrol dan dikasih edukasi soal lalu lintas. Jadi lebih suka sama polisi sekarang","positif","anak temu polisi acara car free day ajak obrol kasih edukasi soal lalu lintas jadi lebih suka sama polisi sekarang"
"Ada acara besar di kota saya, polisi atur pengamanan dengan baik. Lalu lintas tetap lancar dan suasana kondusif","positif","acara besar kota polisi atur aman baik lalu lintas tetap lancar suasana kondusif"
"Saya pernah dipandu polisi dari kantor ke rumah sakit waktu bawa ayah saya yang sakit. Mereka sangat membantu","positif","pernah pandu polisi kantor rumah sakit waktu bawa ayah sakit sangat bantu"
"Polsek di lingkungan saya sering ajak warga kumpul bahas keamanan. Pendekatan seperti ini bikin warga merasa didengar","positif","polsek lingkung sering ajak warga kumpul bahas aman dekat bikin warga rasa dengar"
"Program 'Jumat Curhat' diadakan di balai desa. Polisi dengerin keluhan warga satu per satu. Sangat positif","positif","program jumat curhat diadakan balai desa polisi dengar keluh warga satu per satu sangat positif"
"Saya lihat sendiri anggota polisi menenangkan ibu-ibu yang panik karena anaknya hilang di pasar. Sangat sabar dan sigap","positif","lihat sendiri anggota polisi tenang ibu panik anak hilang pasar sangat sabar sigap"
"Di desa saya, polisi rutin keliling malam hari. Sejak itu maling dan kenakalan remaja jauh berkurang","positif","desa polisi rutin keliling malam hari sejak maling nakal remaja jauh kurang"
